,start,end,station
239,2021-02-05 00:24:32,2021-02-05 00:24:58,9
240,2021-02-05 00:26:51,2021-02-05 00:27:14,9
241,2021-02-05 00:29:04,2021-02-05 00:29:12,9
242,2021-02-05 00:49:52,2021-02-05 00:51:27,9
243,2021-02-05 01:37:41,2021-02-05 01:38:50,9
244,2021-02-05 01:40:14,2021-02-05 01:40:41,9
245,2021-02-05 01:41:32,2021-02-05 01:41:49,9
246,2021-02-05 01:43:06,2021-02-05 01:56:01,9
247,2021-02-05 02:06:14,2021-02-05 02:06:45,9
248,2021-02-05 02:10:17,2021-02-05 02:10:47,9
249,2021-02-05 02:13:28,2021-02-05 02:15:46,9
250,2021-02-05 02:15:59,2021-02-05 02:16:30,9
251,2021-02-05 02:18:48,2021-02-05 02:19:51,9
252,2021-02-05 02:21:16,2021-02-05 02:21:26,9
253,2021-02-05 02:21:45,2021-02-05 02:22:21,9
254,2021-02-05 02:23:38,2021-02-05 02:24:19,9
255,2021-02-05 02:40:18,2021-02-05 02:44:34,9
256,2021-02-05 02:51:47,2021-02-05 02:52:12,9
257,2021-02-05 03:04:05,2021-02-05 03:04:32,9
258,2021-02-05 03:15:22,2021-02-05 03:16:59,9
259,2021-02-05 03:19:58,2021-02-05 03:20:33,9
260,2021-02-05 03:25:25,2021-02-05 03:27:28,9
261,2021-02-05 03:43:50,2021-02-05 03:44:03,9
262,2021-02-05 04:47:59,2021-02-05 04:48:08,9
263,2021-02-05 04:56:41,2021-02-05 04:56:44,9
264,2021-02-05 05:01:58,2021-02-05 05:02:12,9
265,2021-02-05 05:40:51,2021-02-05 05:41:18,9
266,2021-02-05 05:46:13,2021-02-05 05:46:40,9
267,2021-02-05 05:53:05,2021-02-05 05:53:35,9
268,2021-02-05 05:56:53,2021-02-05 05:56:55,9
269,2021-02-05 06:56:30,2021-02-05 06:57:58,9
270,2021-02-05 07:42:20,2021-02-05 07:42:42,9
271,2021-02-05 07:44:47,2021-02-05 07:45:01,9
272,2021-02-05 07:48:56,2021-02-05 07:54:37,9
273,2021-02-05 09:12:52,2021-02-05 09:27:34,9
274,2021-02-05 09:28:00,2021-02-05 09:33:20,9
275,2021-02-05 09:38:43,2021-02-05 09:39:40,9
276,2021-02-05 09:40:02,2021-02-05 09:40:34,9
277,2021-02-05 09:45:11,2021-02-05 09:48:10,9
278,2021-02-05 09:51:06,2021-02-05 09:51:39,9
279,2021-02-05 09:59:09,2021-02-05 09:59:17,9
280,2021-02-05 10:23:32,2021-02-05 10:24:17,9
281,2021-02-05 10:26:00,2021-02-05 10:26:04,9
282,2021-02-05 11:47:27,2021-02-05 11:48:26,9
283,2021-02-05 11:53:28,2021-02-05 11:53:41,9
284,2021-02-05 11:57:27,2021-02-05 11:57:41,9
285,2021-02-05 12:04:09,2021-02-05 12:04:45,9
286,2021-02-05 12:10:01,2021-02-05 12:10:30,9
287,2021-02-05 12:13:16,2021-02-05 12:13:26,9
288,2021-02-05 12:16:17,2021-02-05 12:17:00,9
289,2021-02-05 12:19:51,2021-02-05 12:20:32,9
290,2021-02-05 13:30:02,2021-02-05 13:32:05,5
291,2021-02-05 13:43:09,2021-02-05 13:47:12,8
292,2021-02-05 13:49:30,2021-02-05 13:52:39,8
293,2021-02-05 13:58:46,2021-02-05 14:00:58,8
294,2021-02-05 14:11:53,2021-02-05 14:11:55,8
295,2021-02-05 20:51:39,2021-02-05 20:52:27,9
296,2021-02-05 20:53:42,2021-02-05 20:54:35,9
297,2021-02-05 20:54:52,2021-02-05 20:54:58,9
298,2021-02-05 20:56:07,2021-02-05 20:58:21,9
299,2021-02-05 21:00:38,2021-02-05 21:00:52,9
300,2021-02-05 21:08:55,2021-02-05 21:09:02,9
301,2021-02-05 21:28:16,2021-02-05 21:28:47,9
302,2021-02-05 21:29:06,2021-02-05 21:29:41,9
303,2021-02-05 21:36:41,2021-02-05 21:37:26,9
304,2021-02-05 22:18:52,2021-02-05 22:19:56,9
305,2021-02-05 22:23:12,2021-02-05 22:24:42,9
306,2021-02-05 22:28:20,2021-02-05 22:28:40,9
307,2021-02-05 22:29:33,2021-02-05 22:29:37,9
308,2021-02-05 22:53:55,2021-02-05 22:57:47,9
309,2021-02-05 23:30:36,2021-02-05 23:31:52,9
310,2021-02-05 23:33:13,2021-02-05 23:33:42,9
311,2021-02-05 23:47:40,2021-02-05 23:48:08,9
312,2021-02-05 23:49:48,2021-02-05 23:49:57,9
313,2021-02-05 23:52:00,2021-02-05 23:52:03,9
314,2021-02-06 00:01:57,2021-02-06 00:02:03,9
315,2021-02-06 00:02:58,2021-02-06 00:03:31,9
316,2021-02-06 00:11:40,2021-02-06 00:13:51,9
317,2021-02-06 00:15:41,2021-02-06 00:15:44,9
318,2021-02-06 00:19:02,2021-02-06 00:19:12,9
319,2021-02-06 00:33:09,2021-02-06 00:33:22,9
320,2021-02-06 00:35:23,2021-02-06 00:49:10,9
321,2021-02-06 00:53:32,2021-02-06 01:28:30,9
322,2021-02-06 01:32:01,2021-02-06 01:32:14,9
323,2021-02-06 01:46:19,2021-02-06 01:46:30,9
324,2021-02-06 01:46:43,2021-02-06 01:46:53,9
325,2021-02-06 01:56:59,2021-02-06 01:58:14,9
326,2021-02-06 01:58:29,2021-02-06 01:59:44,9
327,2021-02-06 02:06:58,2021-02-06 02:07:19,9
328,2021-02-06 02:08:35,2021-02-06 02:10:25,9
329,2021-02-06 02:11:01,2021-02-06 02:27:56,9
330,2021-02-06 02:35:18,2021-02-06 02:36:32,9
331,2021-02-06 02:40:46,2021-02-06 02:40:49,9
332,2021-02-06 02:50:15,2021-02-06 02:50:21,9
333,2021-02-06 02:52:05,2021-02-06 02:52:11,9
334,2021-02-06 02:53:18,2021-02-06 02:53:53,9
335,2021-02-06 02:57:51,2021-02-06 02:58:56,9
336,2021-02-06 03:31:54,2021-02-06 03:32:21,9
337,2021-02-06 05:11:17,2021-02-06 05:12:29,9
338,2021-02-06 05:12:45,2021-02-06 05:15:09,9
339,2021-02-06 05:15:57,2021-02-06 05:17:32,9
340,2021-02-06 05:19:19,2021-02-06 05:19:24,9
341,2021-02-06 05:22:20,2021-02-06 05:23:20,9
342,2021-02-06 05:28:22,2021-02-06 05:29:05,9
343,2021-02-06 05:29:43,2021-02-06 05:29:48,9
344,2021-02-06 05:32:42,2021-02-06 05:32:47,9
345,2021-02-06 05:33:46,2021-02-06 05:34:09,9
346,2021-02-06 05:40:10,2021-02-06 05:40:15,9
347,2021-02-06 05:42:18,2021-02-06 05:44:42,9
348,2021-02-06 05:44:57,2021-02-06 05:46:47,9
349,2021-02-06 05:48:50,2021-02-06 05:55:33,9
350,2021-02-06 06:40:56,2021-02-06 06:41:30,9
351,2021-02-06 06:42:05,2021-02-06 06:46:17,9
352,2021-02-06 06:52:46,2021-02-06 06:54:02,9
353,2021-02-06 06:55:52,2021-02-06 06:56:23,9
354,2021-02-06 06:58:11,2021-02-06 06:58:48,9
355,2021-02-06 07:01:13,2021-02-06 07:01:16,9
356,2021-02-06 07:03:00,2021-02-06 07:03:05,9
357,2021-02-06 07:10:23,2021-02-06 07:13:14,9
358,2021-02-06 07:40:56,2021-02-06 07:41:05,9
359,2021-02-06 07:46:03,2021-02-06 07:47:00,9
360,2021-02-06 08:09:44,2021-02-06 08:09:51,9
361,2021-02-06 08:10:38,2021-02-06 08:10:45,9
362,2021-02-06 08:13:43,2021-02-06 08:14:42,9
363,2021-02-06 08:15:19,2021-02-06 08:15:56,9
364,2021-02-06 08:24:48,2021-02-06 08:25:19,9
365,2021-02-06 08:28:43,2021-02-06 08:32:57,9
366,2021-02-06 10:21:24,2021-02-06 10:21:59,9
367,2021-02-06 10:27:37,2021-02-06 10:40:56,9
368,2021-02-06 10:43:55,2021-02-06 10:45:58,9
369,2021-02-06 10:50:08,2021-02-06 10:50:14,9
370,2021-02-06 10:50:54,2021-02-06 10:51:33,9
371,2021-02-06 10:52:37,2021-02-06 10:54:10,9
372,2021-02-06 10:56:09,2021-02-06 10:59:27,9
373,2021-02-06 11:12:40,2021-02-06 11:13:30,9
374,2021-02-06 11:13:42,2021-02-06 11:17:35,9
375,2021-02-06 11:19:32,2021-02-06 11:21:26,9
376,2021-02-06 12:18:23,2021-02-06 12:19:01,9
377,2021-02-06 12:25:01,2021-02-06 12:26:26,9
378,2021-02-06 12:32:51,2021-02-06 12:46:32,9
379,2021-02-06 15:05:49,2021-02-06 15:05:57,2
380,2021-02-06 17:36:36,2021-02-06 17:37:29,2
381,2021-02-06 19:05:02,2021-02-06 19:07:28,9
382,2021-02-06 19:11:55,2021-02-06 19:13:23,9
383,2021-02-06 19:25:20,2021-02-06 19:25:32,9
384,2021-02-06 20:59:09,2021-02-06 20:59:23,9
385,2021-02-06 21:13:14,2021-02-06 21:13:59,9
386,2021-02-06 21:18:56,2021-02-06 21:19:26,9
387,2021-02-06 21:22:28,2021-02-06 21:36:10,9
388,2021-02-06 21:36:25,2021-02-06 21:42:31,9
389,2021-02-06 21:42:46,2021-02-06 21:46:34,9
390,2021-02-06 21:47:11,2021-02-06 21:50:34,9
391,2021-02-06 22:01:56,2021-02-06 22:02:13,9
392,2021-02-06 22:02:50,2021-02-06 22:04:27,9
393,2021-02-06 22:07:17,2021-02-06 22:07:32,9
394,2021-02-06 22:08:04,2021-02-06 22:08:54,9
395,2021-02-06 22:59:07,2021-02-06 23:09:40,9
396,2021-02-06 23:18:30,2021-02-06 23:19:13,9
397,2021-02-06 23:22:45,2021-02-06 23:22:52,9
398,2021-02-06 23:27:57,2021-02-06 23:28:20,9
399,2021-02-06 23:32:22,2021-02-06 23:32:28,9
400,2021-02-06 23:34:47,2021-02-06 23:34:50,9
401,2021-02-06 23:40:52,2021-02-06 23:41:00,9
402,2021-02-06 23:49:56,2021-02-06 23:50:01,9
403,2021-02-07 00:06:11,2021-02-07 00:06:51,9
404,2021-02-07 00:07:29,2021-02-07 00:18:05,9
405,2021-02-07 00:26:34,2021-02-07 00:47:12,9
406,2021-02-07 01:00:52,2021-02-07 01:01:08,9
407,2021-02-07 01:11:38,2021-02-07 01:12:55,9
408,2021-02-07 01:49:08,2021-02-07 01:49:17,9
409,2021-02-07 01:51:51,2021-02-07 01:52:31,9
410,2021-02-07 01:52:57,2021-02-07 01:53:10,9
411,2021-02-07 01:54:12,2021-02-07 01:54:36,9
412,2021-02-07 01:57:27,2021-02-07 01:57:32,9
413,2021-02-07 01:59:31,2021-02-07 01:59:34,9
414,2021-02-07 02:01:51,2021-02-07 02:01:55,9
415,2021-02-07 02:04:30,2021-02-07 02:04:34,9
416,2021-02-07 02:08:17,2021-02-07 02:08:35,9
417,2021-02-07 02:11:57,2021-02-07 02:12:23,9
418,2021-02-07 02:15:25,2021-02-07 02:22:49,9
419,2021-02-07 02:23:01,2021-02-07 02:24:19,9
420,2021-02-07 02:27:01,2021-02-07 02:28:13,9
421,2021-02-07 02:41:53,2021-02-07 02:42:48,9
422,2021-02-07 02:54:06,2021-02-07 02:54:30,9
423,2021-02-07 03:42:59,2021-02-07 03:43:39,9
424,2021-02-07 03:47:05,2021-02-07 03:47:30,9
425,2021-02-07 04:31:32,2021-02-07 04:31:39,9
426,2021-02-07 04:42:14,2021-02-07 04:47:58,9
427,2021-02-07 04:55:47,2021-02-07 04:56:18,9
428,2021-02-07 04:59:04,2021-02-07 04:59:50,9
429,2021-02-07 05:00:49,2021-02-07 05:01:23,9
430,2021-02-07 05:04:22,2021-02-07 05:06:42,9
431,2021-02-07 05:11:50,2021-02-07 05:12:06,9
432,2021-02-07 05:18:33,2021-02-07 05:19:11,9
433,2021-02-07 05:21:53,2021-02-07 05:22:02,9
434,2021-02-07 05:23:12,2021-02-07 05:23:28,9
435,2021-02-07 05:27:11,2021-02-07 05:31:41,9
436,2021-02-07 05:35:21,2021-02-07 05:43:22,9
437,2021-02-07 05:47:20,2021-02-07 05:47:26,9
438,2021-02-07 05:48:52,2021-02-07 05:49:51,9
439,2021-02-07 06:56:22,2021-02-07 06:56:54,9
440,2021-02-07 07:00:39,2021-02-07 07:02:54,9
441,2021-02-07 07:10:24,2021-02-07 07:10:37,9
442,2021-02-07 07:11:05,2021-02-07 07:11:54,9
443,2021-02-07 07:35:42,2021-02-07 07:35:47,9
444,2021-02-07 07:45:46,2021-02-07 07:45:57,9
445,2021-02-07 08:12:35,2021-02-07 08:12:47,9
446,2021-02-07 08:14:41,2021-02-07 08:17:09,9
447,2021-02-07 09:12:40,2021-02-07 09:13:10,9
448,2021-02-07 09:15:54,2021-02-07 09:16:23,9
449,2021-02-07 09:22:34,2021-02-07 09:26:30,9
450,2021-02-07 09:32:52,2021-02-07 09:33:07,9
451,2021-02-07 09:39:22,2021-02-07 09:39:31,9
452,2021-02-07 09:48:29,2021-02-07 09:48:33,9
453,2021-02-07 09:51:47,2021-02-07 09:51:53,2
454,2021-02-07 11:38:50,2021-02-07 11:39:10,9
455,2021-02-07 11:49:20,2021-02-07 11:50:35,9
456,2021-02-07 11:50:52,2021-02-07 11:51:07,9
457,2021-02-07 11:51:51,2021-02-07 11:51:55,9
458,2021-02-07 11:54:19,2021-02-07 11:55:26,9
459,2021-02-07 11:58:42,2021-02-07 11:59:17,9
460,2021-02-07 12:16:13,2021-02-07 12:16:37,9
461,2021-02-07 12:18:45,2021-02-07 12:18:47,9
462,2021-02-07 12:19:56,2021-02-07 12:20:39,9
463,2021-02-07 12:21:54,2021-02-07 12:23:43,9
464,2021-02-07 12:24:29,2021-02-07 12:24:32,9
